"","x","sonority"
"1","b",p
"2","u",v
"3","e",v
"4","r",v
"5","o",v
"6","m",n
"7","a",v
"8","w",g
"9","n",n
"10","g",p
"11","t",p
"12","i",v
"13","p",p
"14","k",p
"15","c",p
"16","ʔ",p
"17","d",p
"18","j",g
"19","y",v
"20",";",NA
"21",NA,NA
"22","h",f
"23","s",f
"24","f",f
"25","ə",v
"26","l",l
"27","z",f
"28","v",f
"29","θ",f
"30","ʁ",f
"31","q",p
"32","x",f
"33","ʕ",p
"34","ɮ",a
"35","ɣ",f
"36","β",f
"37","ɔ",v
"38","ɑ",v
"39","ɒ",v
"40","ǝ",v
"41","ʊ",v
"42","ʒ",f
"43","ʌ",v
"44","ʃ",f
"45","δ",f
"46","=",NA
"47","ɯ",v
"48","Y",v
"49","ɸ",f
"50","γ",NA
"51"," ",NA
"52","ŋ",n
