X,IDS,Glotto,Reference,"Value (1 = obligatory initial; 2 = not obligatory initial; 3 = Mixed, some initial others not)"
Albanian,aln,gheg1238,Newmark (1982: 275-278),1
Ayoreo,ayo,ayor1240,Bertinetto (2014: 393-395),2
Basque,eus,basq1248,"Hualde (2003: 132-133, 154)",1
Paonan Katukina,knt,pano1254,Aguiar (1988: 36-42),1
Cavinena,cav,cavi1250,Guillaume (2008: 100-103),1
Chadong,cdy,chad1240,Li (2008: 604),3
"Chatino, Zacatepec",ctz,zaca1242,Villard (2009: 9293),1
Chipaya,cap,chip1262,"Cerron (2006: 102-103, 171-172, 241-244)",1
Embera,emp,nort2972,"Mortensen (1999: 13, 83-84, 93-95)",3
Itonama,ito,iton1250,crevels (2012: 251-255),?
Kaingang,kgp,kain1272,Dasilva (2011: 163-171),2
Saami (Northern),sme,nort2671,Wilbur (2013: 237-240),1
limonese creole,qlm,limo1249,winkler (1998: 101-102),1
Maonan,mmd,maon1241,lu (2008: 177-190),2
Negerhollands,dcr,nege1244,vansluijs (2013: 271),1
Panare,pbh,enap1235,payne & payne (2013: 375-388),1
Puinave,pui,puin1248,higuita (2008: 209-214),1
Rapanui,rap,rapa1244,feu (1996: 17-35),1
Rotuman,rtm,rotu1241,vamarasi (2002: 19-20),2
Serbo-croatian,hrv,croa1245,Browne & Alt (2004: 57-59),1
Siona,snn,sion1247,wheeler (1970: 64-65),1
Siriono,srq,siri1273,dahl (2014: 125),2
Tai Lue,khb,luuu1242,hartmann (1984: 48-53),2
Tehuelche,teh,tehu1242,Garay (1998: 422-428),1
Trinitario,trn,trin1274,rose (2014: 90-91),1
Tuyuca,tue,tuyu1244,barnes (2000: 443-444),1
Yamana,yag,yama1264,Adam (1885: 49-50),2
Yaminahua,yaa,yami1256,"Faust & Loos 2002: 31-38, 66-68)",1
Yanomami,wca,yano1262,emiri (1981: 73-76),1
Yavitero,yvt,yavi1244,mosonyietal (2000: 638-640),1
Yiddish,ydd,east2295,Katz (1987: 195-200),2
Dutch,nld,dutc1256,??,?
Old High German,goh,oldh1241,axel (2007: 52-56),1
Kekchi,kek,kekc1242,stewart (1980: 84-96),?
Yakut,sah,yaku1245,petrova (2011: 6-8),3
Saramaccan,srm,sara1340,byrne (1985: 29-33),1
Seychelles Creole,crs,sese1246,corne (1977: 185-193),1
Tzotzil,tzz,tzot1259,Sarles (1966: 90),1
Bengali,ben,beng1280,hudson (1965: 62-64),3
Muisca,chb,chib1270,ostler (1994: 220-224),2
